signal_period,holding_month,portfolio_id,policy_id,f2r_weight,adaa_weight,weight_basis
2017-03,2017-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-04,2017-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-05,2017-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-06,2017-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-07,2017-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-08,2017-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-09,2017-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-10,2017-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-11,2017-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2017-12,2018-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-01,2018-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-02,2018-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-03,2018-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-04,2018-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-05,2018-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-06,2018-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-07,2018-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-08,2018-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-09,2018-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-10,2018-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
