year,series_id,display_name,annual_return,months_observed,series_role
2017,PDS_ACTIVE_CORE,PDS Core,0.1073616192959086,8,ACTIVE_CORE
2018,PDS_ACTIVE_CORE,PDS Core,-0.02511334751884675,12,ACTIVE_CORE
2019,PDS_ACTIVE_CORE,PDS Core,0.16090444033308593,12,ACTIVE_CORE
2020,PDS_ACTIVE_CORE,PDS Core,0.2968581115153226,12,ACTIVE_CORE
2021,PDS_ACTIVE_CORE,PDS Core,0.1486872997449773,12,ACTIVE_CORE
2022,PDS_ACTIVE_CORE,PDS Core,-0.08909660839644495,12,ACTIVE_CORE
2023,PDS_ACTIVE_CORE,PDS Core,0.15580884178324061,12,ACTIVE_CORE
2024,PDS_ACTIVE_CORE,PDS Core,0.11013412709771009,12,ACTIVE_CORE
2025,PDS_ACTIVE_CORE,PDS Core,0.23221785527020478,12,ACTIVE_CORE
2026,PDS_ACTIVE_CORE,PDS Core,0.18167182519586222,8,ACTIVE_CORE
2017,ADAA,ADAA,0.09854762324871058,8,CORE_STRATEGY
2018,ADAA,ADAA,0.013958219628033897,12,CORE_STRATEGY
2019,ADAA,ADAA,0.12912081771220718,12,CORE_STRATEGY
2020,ADAA,ADAA,0.26532209927865114,12,CORE_STRATEGY
2021,ADAA,ADAA,0.12959676168163203,12,CORE_STRATEGY
2022,ADAA,ADAA,-0.07432827877242942,12,CORE_STRATEGY
2023,ADAA,ADAA,0.12076845782008849,12,CORE_STRATEGY
2024,ADAA,ADAA,0.09004536921184458,12,CORE_STRATEGY
2025,ADAA,ADAA,0.22007807912252764,12,CORE_STRATEGY
2026,ADAA,ADAA,0.19021347837949198,8,CORE_STRATEGY
2017,F2R,F2R,0.13405457726313807,8,CORE_STRATEGY
2018,F2R,F2R,-0.13734157112070366,12,CORE_STRATEGY
2019,F2R,F2R,0.25869883014776596,12,CORE_STRATEGY
2020,F2R,F2R,0.3910933913687742,12,CORE_STRATEGY
2021,F2R,F2R,0.20692733421220155,12,CORE_STRATEGY
2022,F2R,F2R,-0.13755222889201224,12,CORE_STRATEGY
2023,F2R,F2R,0.2589018226347013,12,CORE_STRATEGY
2024,F2R,F2R,0.17063753833303252,12,CORE_STRATEGY
2025,F2R,F2R,0.26842263316140325,12,CORE_STRATEGY
2026,F2R,F2R,0.1529687770724748,8,CORE_STRATEGY
2017,SPY_AGG_60_40,60/40,0.08858889574441897,8,REFERENCE
2018,SPY_AGG_60_40,60/40,-0.023312638303859434,12,REFERENCE
2019,SPY_AGG_60_40,60/40,0.21931483526473095,12,REFERENCE
2020,SPY_AGG_60_40,60/40,0.14655377009473947,12,REFERENCE
2021,SPY_AGG_60_40,60/40,0.15767544362383656,12,REFERENCE
2022,SPY_AGG_60_40,60/40,-0.15911345057071202,12,REFERENCE
2023,SPY_AGG_60_40,60/40,0.17524111374920537,12,REFERENCE
2024,SPY_AGG_60_40,60/40,0.14851572306982863,12,REFERENCE
2025,SPY_AGG_60_40,60/40,0.13559269814277863,12,REFERENCE
2026,SPY_AGG_60_40,60/40,0.07767873936543057,8,REFERENCE
2017,BIL_CASH,BIL Cash,0.00537274171392399,8,CASH_COMPARATOR
2018,BIL_CASH,BIL Cash,0.015594968350330918,12,CASH_COMPARATOR
2019,BIL_CASH,BIL Cash,0.020319094358492773,12,CASH_COMPARATOR
2020,BIL_CASH,BIL Cash,0.003986028362436667,12,CASH_COMPARATOR
2021,BIL_CASH,BIL Cash,-0.000983118748120515,12,CASH_COMPARATOR
2022,BIL_CASH,BIL Cash,0.014045548962872134,12,CASH_COMPARATOR
2023,BIL_CASH,BIL Cash,0.04462695663015692,12,CASH_COMPARATOR
2024,BIL_CASH,BIL Cash,0.051930334455849936,12,CASH_COMPARATOR
2025,BIL_CASH,BIL Cash,0.04147084492894426,12,CASH_COMPARATOR
2026,BIL_CASH,BIL Cash,0.02367107309759442,8,CASH_COMPARATOR
